feature	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ACOT9	1	5.699587222088499e-4	0.42983834918446584	0.44	0.14	0.28497936110442496
UPRT	1	7.162773525072241e-4	0.3676768130863558	0.4	0.12	0.35813867625361206
XG	1	0.0034624458256373226	0.3595327694033837	0.16	0	1
ABCB7	1	0.004210696680334549	-0.2639402563723332	0.02	0.2	1
HDAC8	1	0.008127117011426937	-0.8891434010766899	0.06	0.24	1
MORC4	1	0.008376202168010414	0.36793728977225676	0.22	0.04	1
ACOT9	0	5.699587222088499e-4	-0.42983834918446584	0.14	0.44	0.28497936110442496
UPRT	0	7.162773525072241e-4	-0.3676768130863558	0.12	0.4	0.35813867625361206
XG	0	0.0034624458256373226	-0.3595327694033837	0	0.16	1
ABCB7	0	0.004210696680334549	0.2639402563723332	0.2	0.02	1
HDAC8	0	0.008127117011426937	0.8891434010766899	0.24	0.06	1
MORC4	0	0.008376202168010414	-0.36793728977225676	0.04	0.22	1
